names	ranges_mean	ranges_max	rangesc_mean	rangesc_max
BLOC1S3	2.1284940053551478	6.505392716660323	1.0650955238051933	2.1955575299866728
AC006126.3	6.427736253829537	17.140549273021	2.8875738436427802	6.2690582959641254
EXOC3L2	9.927863291330496	92.81899109792285	2.7823383161958435	7.49196298100341
MARK4	1.983538193955643	6.5813372341073935	1.0973521574778853	2.059628543499511
CKM	229.55165929224964	2058.512933064245	10.086459956926562	103.38843708016121
RPS16P9	0.09547138998806608	5.155455059355568	0.06069579644856083	3.277573008222285
KLC3	63.50154204057879	1427.7353689567428	13.124458630159529	469.1056910569106
ERCC2	1.805915728069344	5.805085271317829	0.9809585352660996	2.0577191621411948
PPP1R13L	4.802364264307295	23.93273273273273	1.8827083075693478	5.851786345949769
CD3EAP	3.842947880994769	11.49049558723693	1.4958942637848198	3.016943734015345
ERCC1	2.39822164219491	14.151832460732983	0.9508561877428916	2.283246414602347
FOSB	200.82770850484866	2810.238290206354	21.997949324978773	99.27644918118013
RTN2	3.6322972031026506	11.342869687390234	1.8113575577805718	4.047149894440535
PPM1N	5.040839440957119	15.693891402714934	2.240346435926461	6.939004086574844
VASP	3.481155611852797	14.90906606545057	1.3174233125286658	3.0633761105626847
OPA3	1.929566602767784	5.74179583110636	1.1333374068453768	2.20058933833378
GPR4	10.786067358602372	61.39756440281032	3.461458673581644	7.673698088332236
EML2	2.383015506567949	7.5812254516889235	1.2196997969847405	2.3083978217254226
EML2-AS1	11.499768362348618	76.90925426774483	3.452576491687419	8.524545454545454
GIPR	18.012081718999113	75.81810454738631	5.637913999028631	51.494399614597135
SNRPD2	2.071262116179758	6.346043165467626	0.9827364352803164	2.3210365305020693
QPCTL	2.490099006457536	16.16899307405434	1.1436817018692187	3.441658871219208
FBXO46	1.9775694869669023	3.9805734695902375	1.0353845113350926	1.8507575186553102
AC007191.4	3.693322874420449	9.68521641371557	1.9310763157937363	4.193229901269393
BHMG1	19.602652584812926	124.0625	4.214148141538775	10.31578947368421
SIX5	3.609983317541971	25.51912568306011	1.5355625039032206	3.9969586374695867
AC074212.6	4.252329653201681	18.625730994152047	1.8992954508185216	6.258064516129032
DMPK	3.345268514120423	15.553267326732676	1.6270982588896468	6.200349301397206
DMWD	2.208971641824989	9.082290076335878	1.2461826061228043	4.261234177215189
RSPH6A	32.91243627121386	319.5428571428571	4.8856890033768705	10.8
SYMPK	1.882107912767932	5.671202003338897	0.9860830770737052	2.2262316058861167
AC092301.3	4.194921867111642	10.67723960565795	2.082601480660559	4.060029282576867
FOXA3	45.88767470885338	297.9466119096509	5.686929513639844	45.364153627311524
IRF2BP1	1.905799993422406	4.252220991755875	1.086963966945545	2.002836704489393
MYPOP	2.132023532063994	3.9852727448890617	1.1758581685361393	2.0150987224157957
NANOS2	9.493038480456494	97.46880570409982	1.6212763467008628	9.336898395721926
NOVA2	5.169652221549961	46.981042654028435	1.9031984082653115	6.687203791469194
CCDC61	2.3211695023081793	4.956870415647922	1.1303694201873642	2.7953917050691244
PGLYRP1	29.845143561953066	287.56613756613757	4.58597783255885	8.514215836135739
CTC-344H19.4	6.2724706576846545	16.755117513267628	3.1880064811771915	6.087349397590361
IGFL4	7.526382789448432	35.044444444444444	3.424723127286098	7.382585751978891
AC007193.6	7.623393779699022	54.69156762874929	3.1457130424269755	18.442081057775223
CTC-344H19.6	1.3418740553022532	28.346491228070175	0.37089334443969857	7.09576837416481
IGFL3	2.900661689636475	69.83576642335767	0.649358367771204	8.493695441319108
TGIF1P1	0.5352842297460144	11.635551948051948	0.19209010098291082	3.810280869104399
IGFL2	44.787176229392834	810.8930323846907	5.836871896598502	47.65392093324692
AC006262.4	1.6432549434646049	23.824	0.473067030771842	5.259465478841871
IGFL2-AS1	47.28483854255731	799.1836734693876	6.047199323534183	40.83565275016567
IGFL1P1	9.916457543949765	93.55411954765752	3.9856203807087973	28.833602584814216
AC006262.6	15.353476505287325	69.16289592760181	4.063047594606259	16.28003099974167
RPL12P41	8.809855926844238	24.429850746268656	3.9695319556706803	12.323741007194245
AC006262.10	0.7185213246859914	13.298598188810322	0.2876456245243375	5.726666666666667
IGFL1	210.97305850554253	10132.678132678131	40.36287208185444	2016.9312169312168
AC006262.11	0.6845471875356253	24.803082191780824	0.2205657470313448	6.874462596732589
IGFL1P2	0.5324074074074074	28.75	0.2414700659563673	13.039383561643834
HIF3A	6.755226624678499	59.22380336351877	2.831483486427225	5.77473280903408
AC007193.10	7.508807136341066	33.128057553956836	3.38311672797129	7.247259439707673
PPP5C	1.794762499987866	9.017506690454951	1.0075161950526106	2.7236893529116184
AC007193.9	4.029955359123478	18.09728183118741	1.8518568439155954	5.388162217045929
CCDC8	7.117462210379149	96.0	2.319162715744444	10.415407118478791
LLNLF-187D8.1	20.862773854325365	188.26271186440675	4.436896007970989	13.232028053769724
PNMAL1	11.428278189789406	158.33962264150944	4.5337369637427845	78.80703569580962
PPP5D1	3.20358474284678	8.836327345309382	1.7445213179602075	3.240934371523915
PNMAL2	4.818764239931386	34.31309904153355	2.292892560891758	10.730031948881788
LLNLR-276E7.1	7.98270637138538	21.282700421940927	4.033537003328695	10.92718227046585
AC011551.3	6.245021968275195	10.828815977175465	3.2626882254921017	5.302441454907823
GAPDHP38	7.4725465508992315	25.222772277227723	3.2972308531917323	4.735391400220507
CALM3	2.3038104946127542	6.949490196078431	1.3285251235882654	3.916297620684913
PTGIR	16.417589776806103	95.30674383492702	3.9064120426735838	9.379862579281184
GNG8	12.15078272538793	86.49462365591398	4.381022109684938	24.55913978494624
